date,1. open,2. high,3. low,4. close,5. volume
2020-08-19 12:54:00,488.9,489.0,488.86,489.0,3833.0
2020-08-19 12:53:00,488.71,489.12,488.645,488.94,3818.0
2020-08-19 12:52:00,488.51,488.7565,488.45,488.607,3537.0
2020-08-19 12:51:00,488.265,488.4768,488.255,488.46,7304.0
2020-08-19 12:50:00,488.08,488.21,488.03,488.21,1620.0
2020-08-19 12:49:00,488.23,488.23,487.8,487.9717,4489.0
2020-08-19 12:48:00,488.04,488.3,488.03,488.2868,3257.0
2020-08-19 12:47:00,488.2,488.2,487.6913,488.055,8698.0
2020-08-19 12:46:00,488.35,488.45,488.2,488.2,4298.0
2020-08-19 12:45:00,488.31,488.585,488.27,488.42,7984.0
2020-08-19 12:44:00,488.69,488.74,488.39,488.39,2970.0
2020-08-19 12:43:00,488.635,488.85,488.635,488.82,3029.0
2020-08-19 12:42:00,488.6288,488.78,488.5731,488.6343,2698.0
2020-08-19 12:41:00,488.66,488.7,488.395,488.62,12327.0
2020-08-19 12:40:00,488.78,488.78,488.5,488.7,5500.0
2020-08-19 12:39:00,488.83,488.83,488.7,488.77,2083.0
2020-08-19 12:38:00,488.9,489.02,488.72,488.7318,5680.0
2020-08-19 12:37:00,488.94,489.02,488.8688,489.014,2850.0
2020-08-19 12:36:00,488.93,488.95,488.8,488.83,3629.0
2020-08-19 12:35:00,488.92,489.05,488.92,488.92,2142.0
2020-08-19 12:34:00,489.12,489.12,488.98,488.98,3290.0
2020-08-19 12:33:00,489.315,489.39,489.17,489.2084,4007.0
2020-08-19 12:32:00,489.2619,489.3346,489.2,489.265,1556.0
2020-08-19 12:31:00,489.23,489.23,489.1932,489.1932,648.0
2020-08-19 12:30:00,489.2652,489.3,489.029,489.3,4493.0
2020-08-19 12:29:00,489.295,489.3,489.155,489.29,1782.0
2020-08-19 12:28:00,489.31,489.31,489.09,489.31,2727.0
2020-08-19 12:27:00,489.4,489.4,489.365,489.3783,1983.0
2020-08-19 12:26:00,489.4599,489.4599,489.275,489.28,2380.0
2020-08-19 12:25:00,489.3,489.46,489.21,489.46,1893.0
2020-08-19 12:24:00,489.3829,489.3829,489.29,489.33,1625.0
2020-08-19 12:23:00,489.08,489.395,489.08,489.34,2254.0
2020-08-19 12:22:00,489.295,489.295,489.16,489.18,2172.0
2020-08-19 12:21:00,489.12,489.4,489.04,489.33,8166.0
2020-08-19 12:20:00,489.25,489.25,489.1,489.17,1712.0
2020-08-19 12:19:00,489.3,489.3,489.1,489.13,5119.0
2020-08-19 12:18:00,489.18,489.235,489.18,489.235,836.0
2020-08-19 12:17:00,489.39,489.46,489.27,489.435,2802.0
2020-08-19 12:16:00,489.4,489.4,489.25,489.25,1636.0
2020-08-19 12:15:00,489.16,489.6,489.16,489.523,5555.0
2020-08-19 12:14:00,489.1,489.29,489.02,489.29,5480.0
2020-08-19 12:13:00,489.52,489.545,489.01,489.205,5417.0
2020-08-19 12:12:00,489.755,489.92,489.5,489.5,3588.0
2020-08-19 12:11:00,489.86,489.86,489.86,489.86,1465.0
2020-08-19 12:10:00,489.6322,489.77,489.57,489.71,3629.0
2020-08-19 12:09:00,489.93,489.93,489.6177,489.68,4108.0
2020-08-19 12:08:00,490.26,490.26,489.9,489.99,5448.0
2020-08-19 12:07:00,490.21,490.21,489.95,490.12,4317.0
2020-08-19 12:06:00,490.3779,490.3779,490.14,490.17,3792.0
2020-08-19 12:05:00,490.43,490.58,490.2901,490.2901,5147.0
2020-08-19 12:04:00,490.25,490.509,490.21,490.505,4868.0
2020-08-19 12:03:00,490.64,490.64,490.33,490.4,4768.0
2020-08-19 12:02:00,490.495,490.61,490.4,490.48,5723.0
2020-08-19 12:01:00,490.6,490.6,490.39,490.48,3736.0
2020-08-19 12:00:00,490.75,490.8697,490.62,490.62,4850.0
2020-08-19 11:59:00,491.01,491.07,490.73,490.79,3841.0
